Name,Popularity,Faith,Hope,Love,Loving (ignore),Valence,pop_binary
Just Give Me Jesus,56,0,0,0,0,0.353,1
Grace Got You,56,0,0,0,0,0.724,1
Born Again,56,0,0,0,0,0.146,1
By Your Side,56,0,0,0,0,0.0704,1
On and On,56,0,0,0,0,0.25,1
How Deep The Father's Love For Us,56,0,0,1,0,0.388,1
Build Your Kingdom Here,56,0,0,0,0,0.553,1
There Is a Cloud,56,0,0,0,0,0.139,1
Only King Forever,56,0,0,0,0,0.539,1
Inevitable,56,0,0,0,0,0.322,1
As You Find Me - Live,56,0,0,0,0,0.0802,1
Highlands (Song Of Ascent) - Live,56,0,0,0,0,0.244,1
Great Assembly,56,0,0,0,0,0.127,1
Build My Life - Live,56,0,0,0,0,0.0625,1
Holy Ground - Live,56,0,0,0,0,0.0527,1
Highs & Lows,56,0,0,0,0,0.0409,1
Nothing Else,56,0,0,0,0,0.356,1
Found,56,0,0,0,0,0.113,1
Surrounded (Fight My Battles) [Live],56,0,0,0,0,0.044,1
Home,56,0,0,0,0,0.488,1
Broken Things,56,0,0,0,0,0.246,1
Christ In Me,56,0,0,0,0,0.229,1
Lion and the Lamb,56,0,0,0,0,0.219,1
Endless Alleluia (Live),56,0,0,0,0,0.237,1
Extravagant (Live),56,0,0,0,0,0.064,1
Lion and the Lamb (Live),56,0,0,0,0,0.267,1
Jesus We Love You (Live),56,0,0,1,0,0.115,1
Great Things,56,0,0,0,0,0.318,1
The Secret Place - Acoustic,56,0,0,0,0,0.304,1
Good & Loved (feat. Steffany Gretzinger),56,0,0,1,0,0.202,1
Come Alive,55,0,0,0,0,0.169,1
See The Light,55,0,0,0,0,0.441,1
No One But You,55,0,0,0,0,0.0694,1
Upper Room,55,0,0,0,0,0.167,1
Touch Of Heaven,55,0,0,0,0,0.211,1
Grace To Grace,55,0,0,0,0,0.162,1
Reason,55,0,0,0,0,0.968,1
Best News Ever,55,0,0,0,0,0.395,1
Sorry Would Go A Long Way,55,0,0,0,0,0.36,1
I Have This Hope,55,0,1,0,0,0.11,1
Thrive,55,0,0,0,0,0.279,1
East To West,55,0,0,0,0,0.324,1
River of Grace,55,0,0,0,0,0.398,1
When We Pray,55,0,0,0,0,0.574,1
I CHOOSE TO WORSHIP,55,0,0,0,0,0.357,1
Wonder,55,0,0,0,0,0.18,1
Confident,55,0,0,0,0,0.281,1
More,55,0,0,0,0,0.125,1
Dancing In The Minefields,55,0,0,0,0,0.29,1
Most Beautiful / So in Love,55,0,0,1,0,0.32,1
All In,55,0,0,0,0,0.162,1
Same Power,55,0,0,0,0,0.337,1
Blessings,55,0,0,0,0,0.439,1
How Great Is Your Love,55,0,0,1,0,0.103,1
Song In My Soul (feat. Hollyn),55,0,0,0,0,0.279,1
Made A Way,55,0,0,0,0,0.27,1
Be Still,54,0,0,0,0,0.0771,1
Behold (Then Sings My Soul),54,0,0,0,0,0.114,1
How Great Thou Art,54,0,0,0,0,0.0747,1
Shouldêve Been Us,54,0,0,0,0,0.424,1
Your Love Never Fails,54,0,0,1,0,0.558,1
Nothing Without You,54,0,0,0,0,0.358,1
The Way (New Horizon),54,0,0,0,0,0.462,1
Glorious Day (Living He Loved Me),54,0,0,1,0,0.393,1
Overwhelmed,54,0,0,0,0,0.197,1
Hills and Valleys,54,0,0,0,0,0.586,1
Be Thou My Vision,54,0,0,0,0,0.157,1
Psalm 46 (Live),54,0,0,0,0,0.333,1
Nothing Without You,54,0,0,0,0,0.358,1
Overcome,54,0,0,0,0,0.484,1
First,54,0,0,0,0,0.189,1
Endless Praise - Live,54,0,0,0,0,0.42,1
Clean - Live,54,0,0,0,0,0.207,1
Bigger Than I Thought - Live,54,0,0,0,0,0.268,1
Be Kind To Yourself,54,0,0,0,0,0.522,1
Take Me Back,54,0,0,0,0,0.245,1
You Keep on Getting Better,54,0,0,0,0,0.247,1
Mercy Is A Song,54,0,0,0,0,0.194,1
There Will Be A Day,54,0,0,0,0,0.208,1
Ain't No Grave (Live),54,0,0,0,0,0.185,1
Promises Never Fail (Live),54,0,0,0,0,0.26,1
Living Hope (Live),54,0,1,0,0,0.214,1
Be Enthroned (Live),54,0,0,0,0,0.0592,1
In Over My Head (Crash Over Me) [Live],54,0,0,0,0,0.0896,1
Fall Afresh,54,0,0,0,0,0.188,1
God I Look to You,54,0,0,0,0,0.158,1
Nothing Without You,54,0,0,0,0,0.358,1
Get Back Right,54,0,0,0,0,0.541,1
Divine / Sailing / Time / Hymn - Acoustic,54,0,0,0,0,0.253,1
So in Love,54,0,0,1,0,0.058,1
Dawn,53,0,0,0,0,0.362,1
I Will Praise You,53,0,0,0,0,0.159,1
No One But You - Live,53,0,0,0,0,0.0694,1
Touch Of Heaven - Live,53,0,0,0,0,0.221,1
Pursue / All I Need Is You - Medley/Live,53,0,0,0,0,0.195,1
Open Heaven (River Wild),53,0,0,0,0,0.0548,1
Born Again,53,0,0,0,0,0.469,1
At the Table,53,0,0,0,0,0.285,1
Dear Younger Me,53,0,0,0,0,0.631,1
Youêre Worthy of It All,53,0,0,0,0,0.246,1
Heart of Worship,53,0,0,0,0,0.0993,1
Psalm 42,53,0,0,0,0,0.104,1
Nobody Love,53,0,0,1,0,0.572,1
Greater Than All My Regrets,53,0,0,0,0,0.164,1
Worn,53,0,0,0,0,0.19,1
This Love,53,0,0,1,0,0.222,1
God of All My Days,53,0,0,0,0,0.252,1
Sticks & Stones,53,0,0,0,0,0.327,1
Rain,53,0,0,0,0,0.617,1
My Story,53,0,0,0,0,0.262,1
Close (feat. Steven Furtick),53,0,0,0,0,0.705,1
Drops In the Ocean,53,0,0,0,0,0.517,1
Youêre Worthy of It All,53,0,0,0,0,0.246,1
"Psalm 23 (Surely Goodness, Surely Mercy)",53,0,0,0,0,0.138,1
Turn It Up - Live,53,0,0,0,0,0.277,1
Well Done,53,0,0,0,0,0.199,1
Fear No More,53,0,0,0,0,0.279,1
Even When It Hurts (Praise Song) - Live,53,0,0,0,0,0.0725,1
Even When It Hurts (Praise Song) - In The Cold Night Of A Not Too Distant War,53,0,0,0,0,0.0698,1
Prince Of Peace,53,0,0,0,0,0.08,1
"God, Youêre So Good - Live",53,0,0,0,0,0.0548,1
Let Go,53,0,0,0,0,0.496,1
Called Me Higher,53,0,0,0,0,0.206,1
Adonai,53,0,0,0,0,0.157,1
Rest on Us - Live,53,0,0,0,0,0.0551,1
Is He Worthy?,53,0,0,0,0,0.201,1
Resurrection Power,53,0,0,0,0,0.306,1
I Will Follow,53,0,0,0,0,0.483,1
Grace Wins,53,0,0,0,0,0.516,1
Where You Are (Live),53,0,0,0,0,0.095,1
The Comeback,53,0,0,0,0,0.473,1
Hope in Front of Me,53,0,1,0,0,0.36,1
Victory Is Yours (Live),53,0,0,0,0,0.0656,1
Spirit Move (Live),53,0,0,0,0,0.168,1
We Dance (Live),53,0,0,0,0,0.378,1
Closer,53,0,0,0,0,0.0821,1
Exalted Over All - Live,53,0,0,0,0,0.186,1
All I Need Is You,53,0,0,0,0,0.588,1
In Christ Alone,52,0,0,0,0,0.407,1
From Whom All Blessings Flow (Doxology),52,0,0,0,0,0.113,1
Every Breath,52,0,0,0,0,0.127,1
Bright As The Sun,52,0,0,0,0,0.201,1
Behold (Then Sings My Soul) - Live,52,0,0,0,0,0.119,1
Grace To Grace - Live,52,0,0,0,0,0.167,1
Transfiguration,52,0,0,0,0,0.173,1
Goodness of God,52,0,0,0,0,0.265,1
Never Alone,52,0,0,0,0,0.551,1
You Are More,52,0,0,0,0,0.353,1
Nothing I Hold on to (Live),52,0,0,0,0,0.297,1
"Wonderful, Merciful Savior",52,0,0,0,0,0.152,1
Bless The Broken Road,52,0,0,0,0,0.192,1
Miracle,52,0,0,0,0,0.953,1
Goodness of God,52,0,0,0,0,0.265,1
Rescuer (Good News),52,0,0,0,0,0.553,1
Oceans (Where Feet May FaiI),52,0,0,0,0,0.396,1
Nothing I Hold on to (Live),52,0,0,0,0,0.297,1
God of the Promise,52,0,0,0,0,0.272,1
Resurrecting (Acoustic),52,0,0,0,0,0.319,1
Ven Ante Su Trono (O Come to the Altar),52,0,0,0,0,0.154,1
Do it Again (Acoustic),52,0,0,0,0,0.182,1
O'Lord,52,0,0,0,0,0.487,1
Band of Gold,52,0,0,0,0,0.305,1
Holy Ground - Live,52,0,0,0,0,0.0618,1
Prince Of Peace - Live,52,0,0,0,0,0.0831,1
Scandal Of Grace,52,0,0,0,0,0.138,1
No Fear in Love,52,0,0,1,0,0.24,1
How He Loves - Live,52,0,0,1,0,0.271,1
At The Cross (Love Ran Red) - Live,52,0,0,1,0,0.175,1
Every Little Thing,52,0,0,0,0,0.448,1
Real Love (Live),52,0,0,1,0,0.457,1
Rest In You,52,0,0,0,0,0.112,1
Truth Be Told,52,0,0,0,0,0.451,1
Strong Enough,52,0,0,0,0,0.315,1
Only a Holy God,52,0,0,0,0,0.217,1
Wanted,52,0,0,0,0,0.0715,1
Drenched in Love (Live),52,0,0,1,0,0.357,1
Pieces (Spontaneous),52,0,0,0,0,0.0716,1
It Is Well,52,0,0,0,0,0.0377,1
Oceans (Where Feet May Fail),52,0,0,0,0,0.0484,1
Nothing I Hold on to (Live),52,0,0,0,0,0.297,1
Cry For You,52,0,0,0,0,0.276,1
814,52,0,0,0,0,0.36,1
Captured,52,0,0,0,0,0.12,1
Intentional,52,0,0,0,0,0.493,1
He Shall Reign,51,0,0,0,0,0.125,1
See The Light - Live,51,0,0,0,0,0.334,1
So Will I (100 Billion X) - Live,51,0,0,0,0,0.103,1
The Passion,51,0,0,0,0,0.288,1
God So Loved,51,0,0,1,0,0.329,1
Remembrance,51,0,0,0,0,0.13,1
Let There Be Light,51,0,0,0,0,0.155,1
In Control,51,0,0,0,0,0.212,1
Jesus I Need You,51,0,0,0,0,0.142,1
Closer Than a Brother,51,0,0,0,0,0.473,1
You've Always Been,51,0,0,0,0,0.488,1
I Can Only Imagine - The Movie Session,51,0,0,0,0,0.633,1
Water and Dust,51,0,0,0,0,0.404,1
Change Your Mind,51,0,0,0,0,0.285,1
Great Are You Lord - Live,51,0,0,0,0,0.134,1
Here's My Heart - Live,51,0,0,0,0,0.213,1
Courageous,51,0,0,0,0,0.459,1
Perfect Peace,51,0,0,0,0,0.364,1
It Is Well with My Soul,51,0,0,0,0,0.28,1
I Will Wait for You (Psalm 130) [Live],51,0,0,0,0,0.206,1
Psalm 46 (Lord of Hosts),51,0,0,0,0,0.221,1
YOUR NAME IS POWER,51,0,0,0,0,0.561,1
Echo (Paradoxology),51,0,0,0,0,0.448,1
Yours (Glory and Praise),51,0,0,0,0,0.136,1
Grateful,51,0,0,0,0,0.486,1
Yahweh,51,0,0,0,0,0.0727,1
Here's My Heart,51,0,0,0,0,0.185,1
I Am Yours,51,0,0,0,0,0.244,1
Once And For All,51,0,0,0,0,0.176,1
Storehouse,51,0,0,0,0,0.268,1
This Is Our Time - Live,51,0,0,0,0,0.377,1
Broken Hallelujah,51,0,0,0,0,0.324,1
Glimmer In The Dust,51,0,0,0,0,0.119,1
Scandal of Grace,51,0,0,0,0,0.125,1
Cecieês Lullaby,51,0,0,0,0,0.132,1
Thereês Nothing That Our God Canêt Do - Live From Passion 2020,51,0,0,0,0,0.191,1
Love Won't Let Me Down,51,0,0,1,0,0.348,1
Love Changes Everything (Live),51,0,0,1,0,0.127,1
God Be,51,0,0,0,0,0.303,1
Worthy of It All + All of the Glory,51,0,0,0,0,0.0799,1
Holy Roar,51,0,0,0,0,0.337,1
Indescribable,51,0,0,0,0,0.407,1
The God Who Stays,51,0,0,0,0,0.225,1
Overcome,51,0,0,0,0,0.0739,1
Behold Our God,51,0,0,0,0,0.196,1
There Is a Name (Live),51,0,0,0,0,0.23,1
Starlight (Live),51,0,0,0,0,0.0764,1
Take Courage (Live),51,0,0,0,0,0.136,1
Have It All (Live),51,0,0,0,0,0.105,1
Glory to Glory (Live),51,0,0,0,0,0.104,1
Our Father,51,0,0,0,0,0.286,1
Cover The Earth,51,0,0,0,0,0.269,1
Always Knew,51,0,0,0,0,0.508,1
Whatchu Mean,51,0,0,0,0,0.523,1
Hammer Time,51,0,0,0,0,0.243,1
Your Love Awakens Me,51,0,0,1,0,0.396,1
My Portion,51,0,0,0,0,0.124,1
Love So Great,50,0,0,1,0,0.184,1
Love On The Line,50,0,0,1,0,0.0688,1
Head to the Heart (Live),50,0,0,0,0,0.339,1
Broken Together,50,0,0,0,0,0.192,1
Citizen of Heaven,50,0,0,0,0,0.569,1
Until Grace,50,0,0,0,0,0.496,1
Undefeated (feat. KB),50,0,0,0,0,0.326,1
Diamonds,50,0,0,0,0,0.654,1
Is He Worthy (Live),50,0,0,0,0,0.104,1
Psalm 34 (Live),50,0,0,0,0,0.359,1
Head to the Heart (Live),50,0,0,0,0,0.339,1
ól Que Resucit‹ (Resurrecting),50,0,0,0,0,0.278,1
Call Upon the Lord,50,0,0,0,0,0.319,1
Jesus I Come,50,0,0,0,0,0.14,1
My Revival,50,0,0,0,0,0.22,1
Loyal,50,0,0,0,0,0.236,1
Salt & Light,50,0,0,0,0,0.328,1
See You Again,50,0,0,0,0,0.38,1
The Anthem (Full Song) - Live,50,0,0,0,0,0.152,1
When You're With Me,50,0,0,0,0,0.329,1
I Surrender - By The Ancient Walls Of A Ruined Temple,50,0,0,0,0,0.105,1
Behold The Lamb - Live,50,0,0,0,0,0.148,1
It Is Finished - Live,50,0,0,0,0,0.191,1
Reckless Love - Live,50,0,0,1,0,0.0763,1
Glorioso Dêa,50,0,0,0,0,0.193,1
Worthy Of Your Name - Live,50,0,0,0,0,0.189,1
Highs & Lows - Acoustic,50,0,0,0,0,0.0388,1
Real Love - Live,50,0,0,1,0,0.457,1
Alive (Live),50,0,0,0,0,0.635,1
Wake (Live),50,0,0,0,0,0.381,1
Alive - Live,50,0,0,0,0,0.63,1
Grace,50,0,0,0,0,0.457,1
Your Glory / Nothing But The Blood - Live,50,0,0,0,0,0.176,1
Faith and Wonder (Live),50,1,0,0,0,0.177,1
Yes And Amen,50,0,0,0,0,0.349,1
I Will Rise,50,0,0,0,0,0.25,1
I Lift My Hands,50,0,0,0,0,0.158,1
What If,50,0,0,0,0,0.508,1
Jesus & You,50,0,0,0,0,0.489,1
Christ Is Mine Forevermore,50,0,0,0,0,0.366,1
My Defender,50,0,0,0,0,0.449,1
Surrounded (Fight My Battles),50,0,0,0,0,0.132,1
Peace,50,0,0,0,0,0.178,1
How Great a King (Live),50,0,0,0,0,0.262,1
You Came (Lazarus) [Live],50,0,0,0,0,0.224,1
Mercy (Live),50,0,0,0,0,0.105,1
Isabelline (Interlude),50,0,0,0,0,0.192,1
We Will Not Be Shaken (Live),50,0,0,0,0,0.115,1
Wonder (Live) [Spontaneous],50,0,0,0,0,0.0789,1
This Is Amazing Grace,50,0,0,0,0,0.146,1
Lamb of God,50,0,0,0,0,0.196,1
Abba,50,0,0,0,0,0.374,1
I'm Turnt,50,0,0,0,0,0.213,1
The Secret Place (Acoustic) - Live,50,0,0,0,0,0.283,1
Opened Up the Heavens,50,0,0,0,0,0.36,1
How Beautiful (Live),50,0,0,0,0,0.0803,1
Be Still - Live,49,0,0,0,0,0.076,1
Valentine,49,0,0,0,0,0.0843,1
The Lord's Prayer,49,0,0,0,0,0.123,1
Seasons (Live) - Bonus,49,0,0,0,0,0.101,1
Who You Say I Am (Live Acoustic) - Bonus,49,0,0,0,0,0.175,1
Remembrance (Live Acoustic) - Bonus,49,0,0,0,0,0.107,1
Touch Of Heaven (Live Acoustic) - Bonus,49,0,0,0,0,0.108,1
Seasons,49,0,0,0,0,0.209,1
As It Is (In Heaven),49,0,0,0,0,0.105,1
Open Heaven (River Wild) - Live,49,0,0,0,0,0.0563,1
Transfiguration - Live,49,0,0,0,0,0.152,1
One Thing,49,0,0,0,0,0.0905,1
Heaven's Knife,49,0,0,0,0,0.221,1
Happy Dance,49,0,0,0,0,0.91,1
Your Love is Strong,49,0,0,1,0,0.274,1
Something Beautiful,49,0,0,0,0,0.581,1
No Shame (feat. The Young Escape),49,0,0,0,0,0.495,1
He Reigns,49,0,0,0,0,0.706,1
Hidden (Live) [feat. Will Reagan],49,0,0,0,0,0.113,1
Good Good Father,49,0,0,0,0,0.175,1
Grace Alone,49,0,0,0,0,0.187,1
Heart in Hand Overture,49,0,0,0,0,0.163,1
Alive,49,0,0,0,0,0.398,1
Live Like You're Loved,49,0,0,1,0,0.578,1
Even Unto Death,49,0,0,0,0,0.143,1
Restless,49,0,0,0,0,0.203,1
"Praise to the Lord (Joyful, Joyful) [Acoustic]",49,0,0,0,0,0.492,1
DAY OF VICTORY,49,0,0,0,0,0.589,1
SING IT FROM THE SHACKLES,49,0,0,0,0,0.381,1
Nailed To The Cross,49,0,0,0,0,0.231,1
Hidden (Live) [feat. Will Reagan],49,0,0,0,0,0.113,1
Paradoxology,49,0,0,0,0,0.112,1
Faithful (Paradoxology),49,1,0,0,0,0.0926,1
Here Again (Paradoxology),49,0,0,0,0,0.0982,1
Worthy (Paradoxology),49,0,0,0,0,0.199,1
Here Comes Heaven,49,0,0,0,0,0.173,1
Here as in Heaven (Acoustic),49,0,0,0,0,0.121,1
JesÒs Vengo A Ti (Jesus I Come) [feat. Evan Craft],49,0,0,0,0,0.212,1
I Can't Believe,49,0,0,0,0,0.179,1
Power To Redeem,49,0,0,0,0,0.213,1
Now Is Forever - Bonus Track,49,0,0,0,0,0.174,1
Wordless - Bonus Track,49,0,0,0,0,0.0882,1
First - Deluxe Sessions,49,0,0,0,0,0.0691,1
Come Alive (Dry Bones) - Deluxe Sessions,49,0,0,0,0,0.227,1
How Can It Be - Live,49,0,0,0,0,0.159,1
Dance - Live,49,0,0,0,0,0.412,1
Ready Or Not - Live,49,0,0,0,0,0.175,1
Another In The Fire - Acoustic,49,0,0,0,0,0.203,1
Highlands (Song Of Ascent) - Acoustic,49,0,0,0,0,0.275,1
Shadow Step,49,0,0,0,0,0.191,1
Say The Word,49,0,0,0,0,0.236,1
Even When It Hurts (Praise Song),49,0,0,0,0,0.154,1
Captain,49,0,0,0,0,0.227,1
Relentless,49,0,0,0,0,0.22,1
Oxygen,49,0,0,0,0,0.0794,1
Letting Go,49,0,0,0,0,0.204,1
Way Maker - Live From Passion 2020,49,0,0,0,0,0.183,1
"Lord, I Need You - Live",49,0,0,0,0,0.159,1
P E A C E,49,0,0,0,0,0.116,1
I Surrender,49,0,0,0,0,0.241,1
Land of the Living - Live,49,0,0,0,0,0.185,1
Move Your Heart - Live,49,0,0,0,0,0.127,1
Oh the Cross - Live,49,0,0,0,0,0.0686,1
I Just Love You - Live,49,0,0,1,0,0.0792,1
History,49,0,0,0,0,0.248,1
He Knows,49,0,0,0,0,0.368,1
El Dios que Adoramos,49,0,0,0,0,0.372,1
Rise,49,0,0,0,0,0.608,1
Raise a Hallelujah,49,0,0,0,0,0.177,1
Goodness of God,49,0,0,0,0,0.183,1
Dancing on the Waves,49,0,0,0,0,0.365,1
I'll Be Everything,49,0,0,0,0,0.183,1
The Blessing,49,0,0,0,0,0.0489,1
Every Crown (Live),49,0,0,0,0,0.232,1
Where You Are (Spontaneous),49,0,0,0,0,0.0821,1
God I Look to You (Live),49,0,0,0,0,0.185,1
For the Cross,49,0,0,0,0,0.0623,1
You Know Me,49,0,0,0,0,0.204,1
I Need You More,49,0,0,0,0,0.184,1
Heal Our Land,49,0,0,0,0,0.296,1
Shelter,49,0,0,0,0,0.185,1
Broke,49,0,0,0,0,0.176,1
8:28,49,0,0,0,0,0.337,1
